signal_date,execution_date,parameters,eligible_members,selected,composite_scores,factor_weight_coverage,latest_filed_dates,target_invested_weight,market_filter_triggered,turnover,transaction_cost,portfolio_value_before_trade
2020-10-30,2020-11-02,"{'style': 'value_quality', 'value_weight': 0.35, 'quality_weight': 0.35, 'growth_weight': 0.1, 'momentum_weight': 0.15, 'low_vol_weight': 0.05, 'momentum_lookback': 252, 'top_n': 8, 'weighting': 'equal', 'market_filter': False}",30,"['V', 'INTC', 'VZ', 'WMT', 'AMGN', 'UNH', 'MSFT', 'CSCO']","{'V': 0.7129741379310345, 'INTC': 0.6839374003189792, 'VZ': 0.6411041448972483, 'WMT': 0.6383859007497845, 'AMGN': 0.618096321655759, 'UNH': 0.5875964270655741, 'MSFT': 0.5871819098425268, 'CSCO': 0.5617145227226896}","{'V': 1.0, 'INTC': 1.0, 'VZ': 1.0, 'WMT': 1.0, 'AMGN': 1.0, 'UNH': 1.0, 'MSFT': 1.0, 'CSCO': 1.0}","{'V': '2019-11-14', 'INTC': '2020-10-23', 'VZ': '2020-10-27', 'WMT': '2020-09-02', 'AMGN': '2020-10-29', 'UNH': '2020-08-03', 'MSFT': '2020-10-27', 'CSCO': '2020-09-03'}",1.0,False,0.29645976410932023,0.0003810894594468768,1.2854677281141906
2020-11-30,2020-12-01,"{'style': 'value_quality', 'value_weight': 0.35, 'quality_weight': 0.35, 'growth_weight': 0.1, 'momentum_weight': 0.15, 'low_vol_weight': 0.05, 'momentum_lookback': 252, 'top_n': 8, 'weighting': 'equal', 'market_filter': False}",30,"['WMT', 'VZ', 'INTC', 'V', 'AMGN', 'MSFT', 'UNH', 'TRV']","{'WMT': 0.6607230655007424, 'VZ': 0.6603857540926507, 'INTC': 0.65100157656419, 'V': 0.6236637931034482, 'AMGN': 0.6057112641844946, 'MSFT': 0.5934616033291169, 'UNH': 0.586456580322279, 'TRV': 0.5815142807384186}","{'WMT': 1.0, 'VZ': 1.0, 'INTC': 1.0, 'V': 1.0, 'AMGN': 1.0, 'MSFT': 1.0, 'UNH': 1.0, 'TRV': 1.0}","{'WMT': '2020-09-02', 'VZ': '2020-10-27', 'INTC': '2020-10-23', 'V': '2020-11-19', 'AMGN': '2020-10-29', 'MSFT': '2020-10-27', 'UNH': '2020-11-02', 'TRV': '2020-10-20'}",1.0,False,0.28675771221089486,0.00040305078620164004,1.4055447126221243
2020-12-31,2021-01-04,"{'style': 'value_quality', 'value_weight': 0.35, 'quality_weight': 0.35, 'growth_weight': 0.1, 'momentum_weight': 0.15, 'low_vol_weight': 0.05, 'momentum_lookback': 252, 'top_n': 8, 'weighting': 'score_inverse_vol', 'market_filter': False}",30,"['WMT', 'VZ', 'INTC', 'V', 'HD', 'MSFT', 'CSCO', 'UNH']","{'WMT': 0.6673897321674092, 'VZ': 0.6612190874259839, 'INTC': 0.6393349098975233, 'V': 0.6388649425287356, 'HD': 0.6032379832810867, 'MSFT': 0.5940171588846724, 'CSCO': 0.5820497717648353, 'UNH': 0.573956580322279}","{'WMT': 1.0, 'VZ': 1.0, 'INTC': 1.0, 'V': 1.0, 'HD': 1.0, 'MSFT': 1.0, 'CSCO': 1.0, 'UNH': 1.0}","{'WMT': '2020-12-02', 'VZ': '2020-10-27', 'INTC': '2020-10-23', 'V': '2020-11-19', 'HD': '2020-11-24', 'MSFT': '2020-10-27', 'CSCO': '2020-11-17', 'UNH': '2020-11-02'}",1.0,False,0.6696130487363066,0.0009570106602690646,1.4291995385620615
2021-01-29,2021-02-01,"{'style': 'value_quality', 'value_weight': 0.35, 'quality_weight': 0.35, 'growth_weight': 0.1, 'momentum_weight': 0.15, 'low_vol_weight': 0.05, 'momentum_lookback': 252, 'top_n': 8, 'weighting': 'score_inverse_vol', 'market_filter': False}",30,"['WMT', 'INTC', 'VZ', 'V', 'MSFT', 'HD', 'TRV', 'CSCO']","{'WMT': 0.6666330271865661, 'INTC': 0.6550348998148453, 'VZ': 0.6472535701846047, 'V': 0.634698275862069, 'MSFT': 0.5934386148233698, 'HD': 0.5763126959247649, 'TRV': 0.5722901428073841, 'CSCO': 0.5680267832590882}","{'WMT': 1.0, 'INTC': 1.0, 'VZ': 1.0, 'V': 1.0, 'MSFT': 1.0, 'HD': 1.0, 'TRV': 1.0, 'CSCO': 1.0}","{'WMT': '2020-12-02', 'INTC': '2021-01-22', 'VZ': '2020-10-27', 'V': '2020-11-19', 'MSFT': '2021-01-26', 'HD': '2020-11-24', 'TRV': '2020-10-20', 'CSCO': '2020-11-17'}",1.0,False,0.26077506406093726,0.0003682229602188003,1.4120328626695489
2021-02-26,2021-03-01,"{'style': 'value_quality', 'value_weight': 0.35, 'quality_weight': 0.35, 'growth_weight': 0.1, 'momentum_weight': 0.15, 'low_vol_weight': 0.05, 'momentum_lookback': 252, 'top_n': 8, 'weighting': 'score_inverse_vol', 'market_filter': False}",30,"['WMT', 'MMM', 'INTC', 'AMGN', 'VZ', 'CSCO', 'HD', 'DOW']","{'WMT': 0.698270202020202, 'MMM': 0.6763120863810519, 'INTC': 0.675060736677116, 'AMGN': 0.667091170323929, 'VZ': 0.6456443747823057, 'CSCO': 0.6350602577499128, 'HD': 0.6196338383838383, 'DOW': 0.6168965517241379}","{'WMT': 1.0, 'MMM': 1.0, 'INTC': 1.0, 'AMGN': 1.0, 'VZ': 1.0, 'CSCO': 1.0, 'HD': 1.0, 'DOW': 1.0}","{'WMT': '2020-12-02', 'MMM': '2021-02-04', 'INTC': '2021-01-22', 'AMGN': '2021-02-09', 'VZ': '2021-02-25', 'CSCO': '2021-02-16', 'HD': '2020-11-24', 'DOW': '2021-02-05'}",1.0,False,0.7655979183512436,0.001100170309076452,1.4370079681587016
2021-03-31,2021-04-01,"{'style': 'value_quality', 'value_weight': 0.35, 'quality_weight': 0.35, 'growth_weight': 0.1, 'momentum_weight': 0.15, 'low_vol_weight': 0.05, 'momentum_lookback': 252, 'top_n': 8, 'weighting': 'score_inverse_vol', 'market_filter': False}",30,"['INTC', 'WMT', 'MMM', 'HD', 'CSCO', 'AMGN', 'VZ', 'V']","{'INTC': 0.7033365987460816, 'WMT': 0.6673650296064089, 'MMM': 0.6640649599442703, 'HD': 0.647248780912574, 'CSCO': 0.6378380355276906, 'AMGN': 0.6338823580633925, 'VZ': 0.6266213862765587, 'V': 0.6183477011494253}","{'INTC': 1.0, 'WMT': 1.0, 'MMM': 1.0, 'HD': 1.0, 'CSCO': 1.0, 'AMGN': 1.0, 'VZ': 1.0, 'V': 1.0}","{'INTC': '2021-01-22', 'WMT': '2021-03-19', 'MMM': '2021-02-04', 'HD': '2021-03-24', 'CSCO': '2021-02-16', 'AMGN': '2021-02-09', 'VZ': '2021-02-25', 'V': '2020-11-19'}",0.9999999999999999,False,0.23891850927734679,0.00037500346720281105,1.5695873389511694
2021-04-30,2021-05-03,"{'style': 'value_quality', 'value_weight': 0.35, 'quality_weight': 0.35, 'growth_weight': 0.1, 'momentum_weight': 0.15, 'low_vol_weight': 0.05, 'momentum_lookback': 252, 'top_n': 8, 'weighting': 'score_inverse_vol', 'market_filter': False}",30,"['INTC', 'HD', 'MMM', 'AMGN', 'DOW', 'WMT', 'CSCO', 'TRV']","{'INTC': 0.6868040316962731, 'HD': 0.6645476314872867, 'MMM': 0.6435094043887147, 'AMGN': 0.632349791013584, 'DOW': 0.6298275862068965, 'WMT': 0.6279205851619644, 'CSCO': 0.6239491466388017, 'TRV': 0.6135257749912922}","{'INTC': 1.0, 'HD': 1.0, 'MMM': 1.0, 'AMGN': 1.0, 'DOW': 1.0, 'WMT': 1.0, 'CSCO': 1.0, 'TRV': 1.0}","{'INTC': '2021-04-23', 'HD': '2021-03-24', 'MMM': '2021-04-27', 'AMGN': '2021-04-28', 'DOW': '2021-04-23', 'WMT': '2021-03-19', 'CSCO': '2021-02-16', 'TRV': '2021-04-20'}",1.0,False,0.5274505249269977,0.0008399770367902904,1.5925228947426837
2021-05-28,2021-06-01,"{'style': 'value_quality', 'value_weight': 0.35, 'quality_weight': 0.35, 'growth_weight': 0.1, 'momentum_weight': 0.15, 'low_vol_weight': 0.05, 'momentum_lookback': 252, 'top_n': 8, 'weighting': 'score_inverse_vol', 'market_filter': False}",30,"['INTC', 'HD', 'MMM', 'WMT', 'CSCO', 'VZ', 'TRV', 'V']","{'INTC': 0.6865166753744341, 'HD': 0.64288096482062, 'MMM': 0.6411530825496342, 'WMT': 0.6323650296064088, 'CSCO': 0.627282479972135, 'VZ': 0.6241213862765587, 'TRV': 0.6195602577499129, 'V': 0.6162787356321839}","{'INTC': 1.0, 'HD': 1.0, 'MMM': 1.0, 'WMT': 1.0, 'CSCO': 1.0, 'VZ': 1.0, 'TRV': 1.0, 'V': 1.0}","{'INTC': '2021-04-23', 'HD': '2021-05-25', 'MMM': '2021-04-27', 'WMT': '2021-03-19', 'CSCO': '2021-05-25', 'VZ': '2021-04-27', 'TRV': '2021-04-20', 'V': '2020-11-19'}",0.9999999999999999,False,0.5273054460489023,0.0008610937106190026,1.6330074287515417
2021-06-30,2021-07-01,"{'style': 'value_quality', 'value_weight': 0.35, 'quality_weight': 0.35, 'growth_weight': 0.1, 'momentum_weight': 0.15, 'low_vol_weight': 0.05, 'momentum_lookback': 252, 'top_n': 8, 'weighting': 'score_inverse_vol', 'market_filter': False}",30,"['INTC', 'MMM', 'WMT', 'TRV', 'HD', 'VZ', 'AMGN', 'CSCO']","{'INTC': 0.6791603535353535, 'MMM': 0.6471300940438871, 'WMT': 0.6362539184952978, 'TRV': 0.6295602577499129, 'HD': 0.6287142981539533, 'VZ': 0.6207880529432254, 'AMGN': 0.6140164576802507, 'CSCO': 0.612282479972135}","{'INTC': 1.0, 'MMM': 1.0, 'WMT': 1.0, 'TRV': 1.0, 'HD': 1.0, 'VZ': 1.0, 'AMGN': 1.0, 'CSCO': 1.0}","{'INTC': '2021-04-23', 'MMM': '2021-04-27', 'WMT': '2021-06-04', 'TRV': '2021-04-20', 'HD': '2021-05-25', 'VZ': '2021-04-27', 'AMGN': '2021-04-28', 'CSCO': '2021-05-25'}",1.0,False,0.2729747992027134,0.0004397043700204327,1.6107874107964981
2021-07-30,2021-08-02,"{'style': 'value_quality', 'value_weight': 0.35, 'quality_weight': 0.35, 'growth_weight': 0.1, 'momentum_weight': 0.15, 'low_vol_weight': 0.05, 'momentum_lookback': 252, 'top_n': 8, 'weighting': 'score_inverse_vol', 'market_filter': False}",30,"['INTC', 'MMM', 'WMT', 'HD', 'TRV', 'AMGN', 'VZ', 'UNH']","{'INTC': 0.6728528822709857, 'MMM': 0.6530726227795193, 'WMT': 0.6284881138975966, 'HD': 0.61663096482062, 'TRV': 0.6145027864855451, 'AMGN': 0.6130825496342738, 'VZ': 0.6107305816788575, 'UNH': 0.6012998955067921}","{'INTC': 1.0, 'MMM': 1.0, 'WMT': 1.0, 'HD': 1.0, 'TRV': 1.0, 'AMGN': 1.0, 'VZ': 1.0, 'UNH': 1.0}","{'INTC': '2021-07-23', 'MMM': '2021-07-27', 'WMT': '2021-06-04', 'HD': '2021-05-25', 'TRV': '2021-07-20', 'AMGN': '2021-04-28', 'VZ': '2021-07-28', 'UNH': '2021-05-05'}",0.9999999999999999,False,0.3223618987802217,0.0005248303073193533,1.62807797480176
2021-08-31,2021-09-01,"{'style': 'value_quality', 'value_weight': 0.35, 'quality_weight': 0.35, 'growth_weight': 0.1, 'momentum_weight': 0.15, 'low_vol_weight': 0.05, 'momentum_lookback': 252, 'top_n': 8, 'weighting': 'score_inverse_vol', 'market_filter': False}",30,"['INTC', 'MMM', 'V', 'WMT', 'VZ', 'HD', 'NKE', 'TRV']","{'INTC': 0.701186215604319, 'MMM': 0.6475574712643678, 'V': 0.6260632183908046, 'WMT': 0.61954175374434, 'VZ': 0.6087608847091606, 'HD': 0.6082976314872867, 'NKE': 0.5986590038314176, 'TRV': 0.5951349703935911}","{'INTC': 1.0, 'MMM': 1.0, 'V': 1.0, 'WMT': 1.0, 'VZ': 1.0, 'HD': 1.0, 'NKE': 1.0, 'TRV': 1.0}","{'INTC': '2021-07-23', 'MMM': '2021-07-27', 'V': '2020-11-19', 'WMT': '2021-06-04', 'VZ': '2021-07-28', 'HD': '2021-08-24', 'NKE': '2021-07-20', 'TRV': '2021-07-20'}",1.0,False,0.4910528306723695,0.0007991504640710975,1.6274225789043273
2021-09-30,2021-10-01,"{'style': 'value_quality', 'value_weight': 0.35, 'quality_weight': 0.35, 'growth_weight': 0.1, 'momentum_weight': 0.15, 'low_vol_weight': 0.05, 'momentum_lookback': 252, 'top_n': 8, 'weighting': 'score_inverse_vol', 'market_filter': False}",30,"['INTC', 'CSCO', 'MMM', 'WMT', 'TRV', 'VZ', 'NKE', 'IBM']","{'INTC': 0.7116076715430163, 'CSCO': 0.6667962382445141, 'MMM': 0.6427452107279693, 'WMT': 0.6284306426332288, 'TRV': 0.6218016370602577, 'VZ': 0.612036746778126, 'NKE': 0.601992337164751, 'IBM': 0.5996982758620689}","{'INTC': 1.0, 'CSCO': 1.0, 'MMM': 1.0, 'WMT': 1.0, 'TRV': 1.0, 'VZ': 1.0, 'NKE': 1.0, 'IBM': 1.0}","{'INTC': '2021-07-23', 'CSCO': '2021-09-09', 'MMM': '2021-07-27', 'WMT': '2021-09-02', 'TRV': '2021-07-20', 'VZ': '2021-07-28', 'NKE': '2021-07-20', 'IBM': '2021-07-27'}",1.0,False,0.548008774051977,0.0008544088446555359,1.55911526441089
2021-10-29,2021-11-01,"{'style': 'value_quality', 'value_weight': 0.35, 'quality_weight': 0.35, 'growth_weight': 0.1, 'momentum_weight': 0.15, 'low_vol_weight': 0.05, 'momentum_lookback': 252, 'top_n': 8, 'weighting': 'score_inverse_vol', 'market_filter': False}",30,"['INTC', 'CSCO', 'TRV', 'MMM', 'AMGN', 'WBA', 'WMT', 'V']","{'INTC': 0.7080061389759665, 'CSCO': 0.656840877009661, 'TRV': 0.6473554281471704, 'MMM': 0.6280870135107884, 'AMGN': 0.6177951933124346, 'WBA': 0.6158225998643422, 'WMT': 0.6055379223267154, 'V': 0.6055089231699939}","{'INTC': 1.0, 'CSCO': 1.0, 'TRV': 1.0, 'MMM': 1.0, 'AMGN': 1.0, 'WBA': 1.0, 'WMT': 1.0, 'V': 1.0}","{'INTC': '2021-10-22', 'CSCO': '2021-09-09', 'TRV': '2021-10-19', 'MMM': '2021-10-26', 'AMGN': '2021-08-04', 'WBA': '2021-10-14', 'WMT': '2021-09-02', 'V': '2020-11-19'}",1.0,False,0.6819033929763791,0.0010761988549474267,1.5782277460888154
2021-11-30,2021-12-01,"{'style': 'value_quality', 'value_weight': 0.35, 'quality_weight': 0.35, 'growth_weight': 0.1, 'momentum_weight': 0.15, 'low_vol_weight': 0.05, 'momentum_lookback': 252, 'top_n': 8, 'weighting': 'score_inverse_vol', 'market_filter': False}",30,"['INTC', 'V', 'CSCO', 'WBA', 'AMGN', 'WMT', 'MMM', 'VZ']","{'INTC': 0.688097135144549, 'V': 0.6694888082274653, 'CSCO': 0.6467259344809254, 'WBA': 0.6229873508221966, 'AMGN': 0.6153814002089864, 'WMT': 0.6021471177290143, 'MMM': 0.6013054043153861, 'VZ': 0.6012896203413445}","{'INTC': 1.0, 'V': 1.0, 'CSCO': 1.0, 'WBA': 1.0, 'AMGN': 1.0, 'WMT': 1.0, 'MMM': 1.0, 'VZ': 1.0}","{'INTC': '2021-10-22', 'V': '2021-11-18', 'CSCO': '2021-11-23', 'WBA': '2021-11-24', 'AMGN': '2021-11-03', 'WMT': '2021-09-02', 'MMM': '2021-10-26', 'VZ': '2021-10-26'}",1.0,False,0.31759860027078707,0.000482632350928378,1.5196299685101944
