signal_date,execution_date,expected_members,eligible_members,missing_members,coverage,selected,selected_momentum,target_invested_weight,parameters,coverage_gate_passed,turnover,transaction_cost,portfolio_value_before_trade
2021-09-30,2021-10-01,30,29,['WBA'],0.9666666666666667,"['MSFT', 'CSCO', 'CRM', 'HD', 'UNH']","{'MSFT': 0.33220422227383106, 'CSCO': 0.32633594728880766, 'CRM': 0.2877184783490818, 'HD': 0.2820373980316111, 'UNH': 0.25958778876979505}",1.0,"{'lookback_days': 126, 'skip_recent_days': 21, 'top_n': 5}",True,1.2039697560843958,0.0016258629606784195,1.3504184407140953
2021-10-29,2021-11-01,30,29,['WBA'],0.9666666666666667,"['CRM', 'MSFT', 'GS', 'AXP', 'AAPL']","{'CRM': 0.24003311790325577, 'MSFT': 0.16819435267743477, 'GS': 0.16331875057362266, 'AXP': 0.16183885834680511, 'AAPL': 0.15408707208916517}",1.0,"{'lookback_days': 126, 'skip_recent_days': 21, 'top_n': 5}",True,1.2048681319341676,0.0018302707293319789,1.5190631080879002
2021-11-30,2021-12-01,30,29,['WBA'],0.9666666666666667,"['CRM', 'MSFT', 'NKE', 'MRK', 'GS']","{'CRM': 0.3393366844378014, 'MSFT': 0.3222509514901517, 'NKE': 0.2621526964980414, 'MRK': 0.23589969335772154, 'GS': 0.190202310267249}",1.0,"{'lookback_days': 126, 'skip_recent_days': 21, 'top_n': 5}",True,0.8482134563649191,0.0012503757564037885,1.4741286488926566
2021-12-31,2022-01-03,30,29,['WBA'],0.9666666666666667,"['UNH', 'HD', 'AAPL', 'PG', 'MSFT', 'CSCO', 'CVX', 'NKE', 'KO', 'MCD']","{'UNH': 0.2837391061289931, 'HD': 0.26334330776759063, 'AAPL': 0.24661198346826474, 'PG': 0.1792097562388426, 'MSFT': 0.1654625671407759, 'CSCO': 0.15702023006389876, 'CVX': 0.13779651887219346, 'NKE': 0.13538408220398868, 'KO': 0.1254088508329687, 'MCD': 0.1096041652929487}",1.0,"{'lookback_days': 63, 'skip_recent_days': 0, 'top_n': 10}",True,1.5990405756542152,0.002336288176220747,1.4610562182044078
2022-01-31,2022-02-01,30,29,['WBA'],0.9666666666666667,"['AAPL', 'CVX', 'IBM', 'PG', 'AMGN', 'KO', 'DOW', 'V', 'JNJ', 'MCD']","{'AAPL': 0.16845872222064995, 'CVX': 0.1603449912862973, 'IBM': 0.13172351376300506, 'PG': 0.12816551539840648, 'AMGN': 0.1066678714170699, 'KO': 0.09070636080995054, 'DOW': 0.08030737990420489, 'V': 0.06987865629055845, 'JNJ': 0.06470082967679636, 'MCD': 0.06246529846216853}",1.0,"{'lookback_days': 63, 'skip_recent_days': 0, 'top_n': 10}",True,0.9999999999996407,0.0014052741011404473,1.4052741011409522
2022-02-28,2022-03-01,30,29,['WBA'],0.9666666666666667,"['CVX', 'AXP', 'KO', 'AMGN', 'TRV', 'V', 'UNH', 'IBM', 'PG', 'AAPL']","{'CVX': 0.2707349981480536, 'AXP': 0.24364410341557985, 'KO': 0.16736774957614764, 'AMGN': 0.13591882454686033, 'TRV': 0.12468841011318066, 'V': 0.09522690475740725, 'UNH': 0.08527213277271262, 'IBM': 0.07059574872395658, 'PG': 0.06280385970446889, 'AAPL': 0.05433519285826072}",1.0,"{'lookback_days': 63, 'skip_recent_days': 0, 'top_n': 10}",True,0.6291689404818068,0.0008670955634774505,1.3781601533181906
2022-03-31,2022-04-01,30,29,['WBA'],0.9666666666666667,"['CVX', 'TRV', 'AXP', 'DOW', 'CAT', 'AMGN', 'MRK', 'KO', 'WMT', 'JNJ']","{'CVX': 0.401171501408222, 'TRV': 0.17141464491502978, 'AXP': 0.14199144146003784, 'DOW': 0.13576555911167, 'CAT': 0.08647706001188005, 'AMGN': 0.076934780455159, 'MRK': 0.07311206323109776, 'KO': 0.06285459195469767, 'WMT': 0.04418504920655897, 'JNJ': 0.035155302399575206}",1.0,"{'lookback_days': 63, 'skip_recent_days': 0, 'top_n': 10}",True,1.0226727942699454,0.0014779594925221128,1.4451929305278746
2022-04-29,2022-05-02,30,29,['WBA'],0.9666666666666667,"['CVX', 'DOW', 'WMT', 'MRK', 'UNH', 'KO', 'JNJ', 'CAT', 'TRV', 'AMGN']","{'CVX': 0.21211890277785694, 'DOW': 0.12095781793925786, 'WMT': 0.1167951827490663, 'MRK': 0.10604352536472517, 'UNH': 0.09439743879670592, 'KO': 0.0700948393408749, 'JNJ': 0.05721176544719486, 'CAT': 0.05164878625716374, 'TRV': 0.030801621780069066, 'AMGN': 0.026400388794250773}",1.0,"{'lookback_days': 63, 'skip_recent_days': 0, 'top_n': 10}",True,0.2378257016104034,0.0003415496797315644,1.4361344355080576
2022-05-31,2022-06-01,30,29,['WBA'],0.9666666666666667,"['MRK', 'DOW', 'CAT', 'CVX', 'IBM', 'AMGN', 'JNJ', 'TRV', 'HON', 'MCD']","{'MRK': 0.21625128474841637, 'DOW': 0.20232367431021503, 'CAT': 0.18626666327000274, 'CVX': 0.17617486776868607, 'IBM': 0.158007453772824, 'AMGN': 0.1491616688820525, 'JNJ': 0.10172961252007373, 'TRV': 0.07245971320236677, 'HON': 0.05998506135777393, 'MCD': 0.05249746905431496}",1.0,"{'lookback_days': 63, 'skip_recent_days': 0, 'top_n': 10}",True,0.6037833539923514,0.0008822534415728653,1.461208620176769
2022-06-30,2022-07-01,30,29,['WBA'],0.9666666666666667,"['MRK', 'IBM', 'KO', 'AMGN']","{'MRK': 0.11548697151831022, 'IBM': 0.08153111938458313, 'KO': 0.018558492940138782, 'AMGN': 0.011067971885185157}",0.4,"{'lookback_days': 63, 'skip_recent_days': 0, 'top_n': 10}",True,0.8001600320064052,0.001070784514180359,1.3382129465968973
2022-07-29,2022-08-01,30,29,['WBA'],0.9666666666666667,"['GS', 'AMGN', 'MCD', 'UNH', 'BA', 'CVX', 'HON', 'MRK']","{'GS': 0.05345842342070406, 'AMGN': 0.047571674292300026, 'MCD': 0.0418569650362306, 'UNH': 0.037858944918053306, 'BA': 0.033004774332781706, 'CVX': 0.020627615826975143, 'HON': 0.018572392189408538, 'MRK': 0.01683401639846127}",0.8,"{'lookback_days': 63, 'skip_recent_days': 0, 'top_n': 10}",True,0.7988515706718557,0.0010615574401889067,1.3288544194713272
2022-08-31,2022-09-01,30,29,['WBA'],0.9666666666666667,"['BA', 'WMT', 'AAPL', 'UNH', 'GS', 'DIS', 'MCD']","{'BA': 0.22655956744221584, 'WMT': 0.061197748665204665, 'AAPL': 0.05869429533344084, 'UNH': 0.05813025502794633, 'GS': 0.0414218894245133, 'DIS': 0.026467573964505497, 'MCD': 0.023213871214639248}",0.7000000000000001,"{'lookback_days': 63, 'skip_recent_days': 0, 'top_n': 10}",True,0.7081724271424842,0.0009205470635705598,1.2998911399092723
2022-09-30,2022-10-03,30,29,['WBA'],0.9666666666666667,['WMT'],{'WMT': 0.062259475106993145},0.1,"{'lookback_days': 63, 'skip_recent_days': 0, 'top_n': 10}",True,0.5775170859457626,0.0006977517483590044,1.2081923900421772
2022-10-31,2022-11-01,30,29,['WBA'],0.9666666666666667,"['CAT', 'TRV', 'MRK', 'CVX', 'JPM', 'AMGN', 'HON', 'WMT', 'IBM', 'GS']","{'CAT': 0.18744717136333344, 'TRV': 0.18379110452490321, 'MRK': 0.16443141830863084, 'CVX': 0.1470634245188358, 'JPM': 0.12964753187076572, 'AMGN': 0.11696014747935712, 'HON': 0.08417283305869394, 'WMT': 0.0774035831838813, 'IBM': 0.06238046308111156, 'GS': 0.05865279873063378}",1.0,"{'lookback_days': 63, 'skip_recent_days': 0, 'top_n': 10}",True,0.9079852950221416,0.001107103750060937,1.2192970041810423
2022-11-30,2022-12-01,30,29,['WBA'],0.9666666666666667,"['MRK', 'CAT', 'JPM', 'AMGN', 'TRV', 'IBM', 'CVX', 'GS', 'HON', 'WMT']","{'MRK': 0.3004656499118139, 'CAT': 0.2884624986845623, 'JPM': 0.2258531634402492, 'AMGN': 0.2000528804248931, 'TRV': 0.18097236479227408, 'IBM': 0.1730266242861842, 'CVX': 0.16872092631514946, 'GS': 0.16837229791207653, 'HON': 0.16517129643776207, 'WMT': 0.1499058218225413}",1.0,"{'lookback_days': 63, 'skip_recent_days': 0, 'top_n': 10}",True,0.02216954966258779,2.9041010999411202e-05,1.30995042485772
2022-12-30,2023-01-03,30,29,['WBA'],0.9666666666666667,"['BA', 'MRK', 'WMT', 'GS', 'HON', 'AMGN', 'UNH', 'CSCO', 'MCD', 'HD']","{'BA': 0.3691543301911011, 'MRK': 0.22795984259240742, 'WMT': 0.22027746929509284, 'GS': 0.21676848604285515, 'HON': 0.15536932008302617, 'AMGN': 0.14671174197451187, 'UNH': 0.11955814894403738, 'CSCO': 0.11946732561129436, 'MCD': 0.11263111949212723, 'HD': 0.10392927610331082}",1.0,"{'lookback_days': 126, 'skip_recent_days': 21, 'top_n': 10}",True,1.029245085044066,0.001296246562000262,1.2594148671059862
2023-01-31,2023-02-01,30,29,['WBA'],0.9666666666666667,"['BA', 'CAT', 'CVX', 'HON', 'MRK', 'JPM', 'HD', 'WMT', 'GS', 'NKE']","{'BA': 0.38172909578282854, 'CAT': 0.3621138773216519, 'CVX': 0.252467229147447, 'HON': 0.24779505847569028, 'MRK': 0.23344912076544522, 'JPM': 0.20416390887879787, 'HD': 0.18296474585381106, 'WMT': 0.17870789324942837, 'GS': 0.17262181685143752, 'NKE': 0.1550713909312189}",1.0,"{'lookback_days': 126, 'skip_recent_days': 21, 'top_n': 10}",True,0.8145937870016183,0.0010283947844235706,1.2624633293717074
2023-02-28,2023-03-01,30,29,['WBA'],0.9666666666666667,"['CAT', 'BA', 'JPM', 'TRV', 'CVX', 'MRK', 'DOW', 'NKE', 'AXP', 'WMT']","{'CAT': 0.42451116907228625, 'BA': 0.32736188968439084, 'JPM': 0.24223694072509905, 'TRV': 0.2249894358757658, 'CVX': 0.2133871884558356, 'MRK': 0.1889408864402189, 'DOW': 0.15861806520044763, 'NKE': 0.1430889264316968, 'AXP': 0.14083915871734232, 'WMT': 0.113423353842381}",1.0,"{'lookback_days': 126, 'skip_recent_days': 21, 'top_n': 10}",True,0.6135007721212827,0.000741392202107712,1.2084617262081399
2023-03-31,2023-04-03,30,29,['WBA'],0.9666666666666667,"['CAT', 'BA', 'JPM', 'MRK', 'CRM', 'DOW', 'AXP', 'TRV', 'NKE', 'V']","{'CAT': 0.3644919713322339, 'BA': 0.29498790989591805, 'JPM': 0.2532422008569457, 'MRK': 0.24985500854097276, 'CRM': 0.16859794821690288, 'DOW': 0.16763541325931186, 'AXP': 0.14198506209135697, 'TRV': 0.13269503207023492, 'NKE': 0.11525655192385376, 'V': 0.09236112039057676}",1.0,"{'lookback_days': 126, 'skip_recent_days': 21, 'top_n': 10}",True,0.4504919279584732,0.0005397216489722297,1.1980717421910871
2023-04-28,2023-05-01,30,29,['WBA'],0.9666666666666667,"['BA', 'CAT', 'CRM', 'CSCO', 'V', 'NKE', 'DOW', 'JPM', 'MRK', 'INTC']","{'BA': 0.6310093148497475, 'CAT': 0.38859119597117187, 'CRM': 0.320706393038825, 'CSCO': 0.2847468304342293, 'V': 0.26068144038880714, 'NKE': 0.258743988525179, 'DOW': 0.2565534863153811, 'JPM': 0.24003609816165072, 'MRK': 0.2389260929178083, 'INTC': 0.20249047831309852}",1.0,"{'lookback_days': 126, 'skip_recent_days': 21, 'top_n': 10}",True,0.43455935582306493,0.0005319788490571635,1.2241799467177132
2023-05-31,2023-06-01,30,29,['WBA'],0.9666666666666667,"['BA', 'NKE', 'MSFT', 'CRM', 'PG', 'INTC', 'MRK', 'AAPL', 'DOW', 'JPM']","{'BA': 0.4587149622935611, 'NKE': 0.4212336254078286, 'MSFT': 0.3547456316091182, 'CRM': 0.23812232979067427, 'PG': 0.20214528847137103, 'INTC': 0.18322879956508142, 'MRK': 0.1823240767699248, 'AAPL': 0.17493585997060523, 'DOW': 0.1664855184479881, 'JPM': 0.150556085534421}",1.0,"{'lookback_days': 126, 'skip_recent_days': 21, 'top_n': 10}",True,0.6465515791296383,0.0007664836145807995,1.1854949231005032
2023-06-30,2023-07-03,30,29,['WBA'],0.9666666666666667,"['CRM', 'MSFT', 'AAPL', 'BA', 'INTC', 'AXP', 'MCD', 'V', 'CSCO', 'MRK']","{'CRM': 0.4534452190287426, 'MSFT': 0.3647099053085163, 'AAPL': 0.2326043213037463, 'BA': 0.19711339554363083, 'INTC': 0.1121967393790364, 'AXP': 0.05852090392885123, 'MCD': 0.05676916969217638, 'V': 0.05033934045261046, 'CSCO': 0.04914587671408155, 'MRK': 0.03194318111943284}",1.0,"{'lookback_days': 126, 'skip_recent_days': 21, 'top_n': 10}",True,0.8192723628963546,0.001023286012570575,1.249018103031055
